Date,Code,Open,High,Low,Close,Preclose,Volume,Amount,adjustflag,Turn,tradestatus,pctChg,isST
2020-07-01,sh.601899,4.4700,4.7000,4.4700,4.5900,4.4000,336231584,1543257513.0000,3,1.711900,1,4.318200,0
2020-07-02,sh.601899,4.5100,4.6500,4.5100,4.6200,4.5900,272079408,1252357766.0000,3,1.385300,1,0.653600,0
2020-07-03,sh.601899,4.6000,4.7900,4.5800,4.7500,4.6200,330125520,1558853698.0000,3,1.680900,1,2.813900,0
2020-07-06,sh.601899,4.7700,5.1300,4.7700,5.1100,4.7500,525666208,2642327770.0000,3,2.676500,1,7.579000,0
2020-07-07,sh.601899,5.2000,5.4500,5.1200,5.1300,5.1100,463256288,2435377392.0000,3,2.358700,1,0.391400,0
2020-07-08,sh.601899,5.1600,5.6000,5.1400,5.5800,5.1300,565314768,3057825693.0000,3,2.878300,1,8.771900,0
2020-07-09,sh.601899,5.6500,6.1400,5.6500,6.1400,5.5800,690230768,4116056290.0000,3,3.514400,1,10.035800,0
2020-07-10,sh.601899,6.0000,6.0000,5.6400,5.6600,6.1400,623383168,3614792120.0000,3,3.174000,1,-7.817600,0
2020-07-13,sh.601899,5.8300,6.0700,5.8100,6.0000,5.6600,576155696,3431960881.0000,3,2.933500,1,6.007100,0
2020-07-14,sh.601899,5.7800,5.9500,5.7000,5.8200,6.0000,426061472,2469490567.0000,3,2.169300,1,-3.000000,0
2020-07-15,sh.601899,5.8500,5.9400,5.6000,5.6500,5.8200,368158624,2111417755.0000,3,1.874500,1,-2.921000,0
2020-07-16,sh.601899,5.5800,5.7800,5.4000,5.4400,5.6500,308009088,1726210139.0000,3,1.568200,1,-3.716800,0
2020-07-17,sh.601899,5.3000,5.4400,5.2100,5.3500,5.3400,243140716,1299330891.0000,3,1.238000,1,0.187300,0
2020-07-20,sh.601899,5.4600,5.6200,5.4200,5.6100,5.3500,380512080,2110951004.0000,3,1.937400,1,4.859800,0
2020-07-21,sh.601899,5.7100,5.7800,5.6000,5.6800,5.6100,298565088,1701371308.4700,3,1.520200,1,1.247800,0
2020-07-22,sh.601899,6.0100,6.0800,5.8200,5.8500,5.6800,383973296,2275999069.6800,3,1.955000,1,2.993000,0
2020-07-23,sh.601899,5.9300,5.9500,5.6200,5.8200,5.8500,305906640,1772895845.7300,3,1.557500,1,-0.512800,0
2020-07-24,sh.601899,5.7800,5.8700,5.5400,5.6300,5.8200,359066864,2047695723.2600,3,1.828200,1,-3.264600,0
2020-07-27,sh.601899,5.7700,6.0400,5.6900,6.0200,5.6300,581687440,3458036747.2800,3,2.961700,1,6.927200,0
2020-07-28,sh.601899,6.2300,6.3000,5.7000,5.7600,6.0200,641076128,3836954516.6700,3,3.264100,1,-4.318900,0
2020-07-29,sh.601899,5.7600,5.7900,5.5800,5.7400,5.7600,419692240,2381905024.2900,3,2.136900,1,-0.347200,0
2020-07-30,sh.601899,5.7700,5.8600,5.6300,5.6500,5.7400,294110304,1681310716.0500,3,1.497500,1,-1.567900,0
2020-07-31,sh.601899,5.7000,5.8500,5.6300,5.8500,5.6500,349910752,2013444108.5700,3,1.781600,1,3.539800,0
2020-08-03,sh.601899,5.8000,5.8800,5.7100,5.8400,5.8500,300128608,1741028418.0300,3,1.528100,1,-0.170900,0
2020-08-04,sh.601899,5.8300,5.9500,5.7600,5.7900,5.8400,285044608,1660603526.5100,3,1.451300,1,-0.856200,0
2020-08-05,sh.601899,5.9700,6.0500,5.8200,6.0400,5.7900,471020400,2803206794.7100,3,2.398200,1,4.317800,0
2020-08-06,sh.601899,6.0900,6.6000,6.0800,6.5700,6.0400,718268736,4625912973.3500,3,3.657100,1,8.774800,0
2020-08-07,sh.601899,6.5700,6.9800,6.5100,6.6400,6.5700,728252320,4919137309.3600,3,3.707900,1,1.065400,0
2020-08-10,sh.601899,6.3700,6.4300,6.2000,6.3300,6.6400,408542640,2572469568.7800,3,2.080100,1,-4.668700,0
2020-08-11,sh.601899,6.2000,6.3500,6.0000,6.0300,6.3300,398065552,2455260277.7800,3,2.026800,1,-4.739300,0
2020-08-12,sh.601899,5.5900,5.7600,5.4400,5.7000,6.0300,596546480,3334005267.9700,3,3.037400,1,-5.472600,0
2020-08-13,sh.601899,5.7100,5.7700,5.6000,5.7200,5.7000,197710106,1125242590.2000,3,1.006700,1,0.350900,0
2020-08-14,sh.601899,5.7400,5.9200,5.7000,5.7800,5.7200,181252163,1051840701.8900,3,0.922900,1,1.049000,0
2020-08-17,sh.601899,5.7500,6.1600,5.6900,6.1100,5.7800,317022000,1886070320.1200,3,1.614100,1,5.709300,0
2020-08-18,sh.601899,6.2700,6.4100,6.1800,6.3600,6.1100,305112736,1926947631.1500,3,1.553500,1,4.091700,0
2020-08-19,sh.601899,6.3600,6.5200,6.2800,6.5000,6.3600,452817744,2904487833.5100,3,2.305600,1,2.201300,0
2020-08-20,sh.601899,6.1900,6.5500,6.1000,6.3200,6.5000,355196080,2238850114.3700,3,1.808500,1,-2.769200,0
2020-08-21,sh.601899,6.3300,6.4000,6.1600,6.2000,6.3200,208846031,1305123835.9500,3,1.063400,1,-1.898700,0
2020-08-24,sh.601899,6.3000,6.8000,6.2600,6.7000,6.2000,492134400,3233027175.8800,3,2.505700,1,8.064500,0
2020-08-25,sh.601899,6.7600,6.7600,6.3400,6.6000,6.7000,368169776,2400064576.7800,3,1.874600,1,-1.492500,0
2020-08-26,sh.601899,6.5300,6.7200,6.4300,6.5300,6.6000,264105493,1732649924.8800,3,1.344700,1,-1.060600,0
2020-08-27,sh.601899,6.6600,6.7100,6.4200,6.4800,6.5300,186834777,1223716663.8000,3,0.951300,1,-0.765700,0
2020-08-28,sh.601899,6.4500,6.6900,6.2900,6.6500,6.4800,259636921,1694238227.8100,3,1.322000,1,2.623500,0
2020-08-31,sh.601899,6.7700,7.3200,6.7600,7.1900,6.6500,746287392,5352225218.7900,3,3.799800,1,8.120300,0
2020-09-01,sh.601899,7.2000,7.4900,7.1500,7.3400,7.1900,444801360,3253480596.7900,3,2.264700,1,2.086200,0
2020-09-02,sh.601899,7.2500,7.3100,7.0200,7.1300,7.3400,346897504,2474034081.2400,3,1.766300,1,-2.861000,0
2020-09-03,sh.601899,7.0100,7.2500,6.9500,7.0600,7.1300,270134576,1923632823.6100,3,1.375400,1,-0.981800,0
